name	location	logo
Google	111 8th Ave, New York, NY 10011	https://cdn.vox-cdn.com/thumbor/Pkmq1nm3skO0-j693JTMd7RL0Zk=/0x0:2012x1341/1200x800/filters:focal(0x0:2012x1341)/cdn.vox-cdn.com/uploads/chorus_image/image/47070706/google2.0.0.jpg
Facebook	770 Broadway, 10003 New York	https://facebookbrand.com/wp-content/themes/fb-branding/prj-fb-branding/assets/images/fb-art.png
Chatham	1 Woodland Rd, Pittsburgh, PA 15232	http://i1.wp.com/www.chatham.edu/news/wp-content/uploads/2016/09/Chatham-U-seal_960x530.jpeg?resize=960%2C530
Goldman	200 West St, New York, NY 10282	https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Goldman_Sachs.svg/2000px-Goldman_Sachs.svg.png
JPMC	4 MetroTech Center, Brooklyn, NY 11245	http://image3.mouthshut.com/images/imagesp/925106531s.jpg
MLB	75 9th Ave, New York, NY 10011	http://www.sparkdigital.com/sites/default/files/MLBAM%20Logo%20_1.jpg
Cisco	111 8th Ave, New York, NY 10011	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Cisco_logo.svg/2000px-Cisco_logo.svg.png
Yahoo	229 W 43rd St, New York, NY 10036	http://1000logos.net/wp-content/uploads/2017/05/Color-Yahoo-logo.jpg
